employee_id,age,monthly_income,years_at_company,job_satisfaction,distance_from_home_km,overtime,department,attrition
39,49,32569.0,8,1,21.3,No,Sales,0
40,28,79198.0,2,1,1.4,No,Sales,0
41,44,53747.0,15,1,3.2,No,Sales,0
42,31,56251.0,8,3,5.1,Yes,HR,0
43,56,60843.0,3,2,8.1,No,Sales,0
44,21,64985.0,2,3,14.1,No,R&D,0
45,28,50632.0,1,3,6.7,No,Sales,1
46,44,46277.0,9,2,1.2,Yes,Sales,1
47,49,73987.0,11,4,7.3,No,R&D,0
48,53,19208.875,9,1,9.7,No,HR,0
49,42,47448.0,11,2,7.7,No,R&D,0
50,57,64589.0,7,2,38.1,Yes,R&D,0
51,56,37899.0,10,1,18.7,No,R&D,0
52,54,77373.0,15,1,3.8,No,HR,0
53,24,45119.0,15,1,0.3,No,R&D,0
54,48,63947.0,4,4,1.3,Yes,HR,0
55,54,40627.0,4,4,3.3,Yes,R&D,0
56,40,54153.0,5,1,3.6,Yes,Sales,1
57,48,65231.0,4,1,0.2,Yes,R&D,0
58,25,50211.0,15,3,0.2,No,Sales,0
59,40,46532.0,16,1,0.1,Yes,Sales,1
60,54,55446.0,13,2,2.4,No,HR,0
61,51,40856.0,2,3,7.3,No,Sales,0
62,58,62367.0,4,4,3.9,Yes,Sales,0
63,30,53747.0,14,2,25.1,No,R&D,1
64,50,52975.0,13,3,1.3,No,R&D,0
65,38,87075.0,17,1,2.1,Yes,Sales,0
66,52,53747.0,7,4,14.1,No,Sales,1
67,23,47474.0,14,4,1.8,No,Sales,1
68,40,59645.0,14,4,20.6,Yes,R&D,0
69,39,57405.0,2,3,4.6,No,HR,1
70,42,37077.0,15,1,10.0,Yes,R&D,1
71,24,69706.0,8,4,0.3,No,HR,1
72,32,41770.0,7,2,1.4,No,R&D,0
73,37,55192.0,6,1,12.1,No,Sales,0
74,33,47787.0,13,2,2.9,No,Sales,0
75,50,65051.0,13,3,8.8,No,Sales,0
76,30,67538.0,14,1,0.0,No,R&D,0
77,33,65527.0,16,3,2.4,No,Sales,0
78,24,46034.0,6,4,0.2,No,Sales,0
79,35,36312.0,18,2,28.2,No,HR,1
80,41,54842.0,6,3,7.5,Yes,R&D,0
81,36,67103.0,4,4,7.0,Yes,Sales,0
82,56,64199.0,15,3,6.8,No,Sales,1
83,25,42341.0,14,3,8.9,No,R&D,0
84,29,43317.0,7,1,20.6,Yes,Sales,0
85,47,56949.0,10,2,6.2,No,HR,0
86,44,37549.0,3,2,1.9,No,R&D,1
87,34,29842.0,19,3,0.3,No,R&D,0
88,24,37352.0,11,1,3.0,No,R&D,0
89,50,28886.0,4,2,2.0,No,R&D,0
90,33,50402.0,16,2,1.4,No,Sales,1
91,33,54858.0,2,4,18.0,No,HR,0
92,36,52506.0,10,2,3.4,Yes,Sales,0
93,50,49215.0,8,4,5.6,No,HR,1
94,29,29180.0,13,1,2.6,No,R&D,0
95,59,75833.0,8,3,4.8,Yes,Sales,0
96,27,74834.0,2,3,10.9,No,R&D,1
97,42,51420.0,11,2,18.4,No,Sales,0
98,48,28103.0,5,2,15.4,No,R&D,0
99,28,54076.0,6,3,12.2,No,Sales,0
100,38,57755.0,8,4,2.2,Yes,R&D,0
101,26,53747.0,0,2,3.6,Yes,Sales,0
102,57,62459.0,7,4,12.6,No,R&D,0
103,50,55276.0,19,3,11.5,No,R&D,0
104,47,87889.875,7,2,2.8,No,R&D,0
105,21,46119.0,11,3,3.1,No,Sales,0
106,43,80057.0,5,1,24.0,No,Sales,0
107,55,39883.0,16,4,5.5,No,Sales,0
108,33,69253.0,1,1,8.5,No,R&D,0
109,27,53747.0,10,1,24.9,No,Sales,0
110,55,66661.0,19,2,21.3,No,R&D,1
111,50,49368.0,14,3,1.4,Yes,Sales,0
112,59,31833.0,3,4,3.7,No,Sales,0
113,38,22180.0,9,4,23.2,No,Sales,0
114,26,51563.0,6,1,9.4,No,Sales,0
115,36,57308.0,9,2,12.0,No,R&D,0
116,33,54406.0,2,1,13.7,No,Sales,0
117,49,49150.0,7,4,3.2,Yes,R&D,0
118,58,62591.0,11,4,6.1,No,R&D,0
119,30,68209.0,3,3,27.4,No,R&D,0
120,44,26394.0,14,2,10.6,Yes,Sales,0
121,42,54167.0,18,4,4.3,No,HR,0
122,25,34126.0,0,3,2.2,Yes,Sales,0
123,48,53747.0,15,1,0.6,No,HR,0
124,33,65834.0,12,4,4.7,Yes,Sales,1
125,32,59413.0,10,3,2.9,No,HR,0
126,27,43168.0,4,2,6.8,Yes,Sales,0
127,54,51711.0,15,1,32.0,No,R&D,0
128,42,60981.0,15,1,0.5,No,Sales,0
129,42,48256.0,11,2,8.2,Yes,HR,0
130,51,25777.0,9,3,1.9,No,R&D,0
131,49,56756.0,3,2,1.3,No,Sales,0
132,33,62608.0,16,2,17.1,No,Sales,0
133,33,36026.0,17,4,1.3,No,HR,0
134,57,32790.0,0,3,0.1,No,R&D,0
135,28,48946.0,12,3,7.7,No,HR,0
136,42,46269.0,14,1,33.5,No,Sales,0
137,59,53747.0,11,2,10.2,Yes,R&D,0
138,36,46480.0,3,3,8.2,No,R&D,0
139,39,32980.0,18,1,19.1,No,R&D,1
140,49,60058.0,16,3,8.3,Yes,R&D,1
141,37,65342.0,13,2,6.5,No,HR,0
142,26,53747.0,19,1,6.5,No,HR,0
143,56,48998.0,2,3,14.6,Yes,Sales,1
144,34,34839.0,10,3,4.4,No,R&D,1
145,53,36656.0,17,1,3.8,No,HR,0
146,44,78631.0,7,1,1.9,Yes,Sales,0
147,52,43370.0,6,3,3.0,No,R&D,0
148,54,36403.0,15,1,4.7,No,R&D,0
149,48,61020.0,3,1,0.1,No,HR,0
150,35,50076.0,13,4,2.8,Yes,Sales,0
151,53,43712.0,9,4,0.0,Yes,R&D,0
152,55,53747.0,14,3,0.7,Yes,Sales,0
153,52,57802.0,13,3,3.4,No,R&D,1
154,59,83470.0,9,1,6.0,No,R&D,0
155,39,21347.0,8,2,2.8,No,R&D,1
156,30,61663.0,8,1,14.9,No,Sales,0
157,30,60116.0,6,2,2.5,No,Sales,0
158,34,54876.0,7,2,3.1,No,R&D,0
159,42,63528.0,8,4,1.7,No,Sales,0
160,22,53747.0,16,3,4.0,No,Sales,0
161,52,55183.0,0,1,1.4,No,Sales,0
162,35,38959.0,3,2,1.9,No,R&D,1
163,37,44096.0,5,4,4.3,No,R&D,0
164,46,51470.0,1,2,0.6,Yes,R&D,0
165,54,44446.0,8,3,17.9,Yes,HR,0
166,42,52404.0,13,3,5.3,Yes,R&D,1
167,40,65584.0,15,1,3.9,No,R&D,0
168,39,45577.0,14,1,0.9,No,R&D,1
169,21,72063.0,16,1,7.2,No,R&D,0
170,34,71003.0,7,4,4.1,No,Sales,0
171,31,52802.0,11,1,1.8,No,R&D,0
172,48,57928.0,16,1,8.7,Yes,Sales,0
173,49,25859.0,6,4,5.2,No,R&D,1
174,29,70515.0,1,1,19.7,Yes,R&D,0
175,54,28861.0,12,2,16.4,No,Sales,0
176,57,51161.0,8,2,3.4,No,Sales,1
177,46,53747.0,11,4,4.1,No,Sales,1
178,49,63933.0,1,3,19.5,Yes,Sales,0
179,28,74945.0,9,2,26.7,Yes,Sales,1
180,36,55961.0,1,3,12.5,Yes,R&D,0
181,21,58659.0,1,2,0.6,No,Sales,0
182,39,41345.0,12,3,0.3,No,R&D,0
183,21,87889.875,6,3,7.7,No,R&D,0
184,30,53674.0,15,1,11.2,No,R&D,1
185,55,53747.0,3,4,9.8,Yes,R&D,0
186,26,53759.0,10,1,12.1,No,R&D,1
187,42,19208.875,13,2,1.4,No,R&D,0
188,37,25817.0,19,1,0.2,No,HR,0
189,32,51605.0,17,2,6.6,No,Sales,0
190,53,19467.0,16,4,17.8,Yes,Sales,0
191,57,46483.0,6,1,2.3,No,R&D,0
192,26,54567.0,0,4,1.7,No,HR,0
193,49,38806.0,6,3,17.1,Yes,Sales,0
194,50,34318.0,16,1,3.3,Yes,Sales,1
195,52,65387.0,13,2,3.5,No,Sales,0
196,28,57022.0,14,2,7.5,No,HR,0
197,49,50025.0,1,2,2.5,No,Sales,0
198,35,69560.0,17,3,22.3,No,R&D,0
199,34,58866.0,2,4,1.7,No,Sales,0
200,40,41180.0,1,2,0.2,No,R&D,0
201,34,87889.875,19,3,4.8,No,Sales,0
202,45,65540.0,0,1,7.1,No,Sales,0
203,24,63185.0,19,2,2.6,Yes,Sales,0
204,28,58240.0,10,3,11.4,No,Sales,0
205,53,87889.875,5,4,0.5,No,R&D,0
206,54,40616.0,19,1,3.1,No,Sales,0
207,32,44002.0,8,1,4.8,No,R&D,0
208,48,43325.0,1,2,23.8,No,R&D,1
209,25,31648.0,13,4,1.2,No,R&D,0
210,59,87889.875,15,2,1.3,No,Sales,0
211,52,53730.0,15,1,1.8,No,HR,0
212,51,50465.0,17,2,11.2,Yes,R&D,1
213,35,42359.0,9,1,2.8,No,Sales,0
214,33,69173.0,1,4,3.1,No,R&D,1
215,37,61296.0,2,1,6.6,Yes,Sales,1
216,47,66277.0,6,3,4.3,No,Sales,0
217,53,66559.0,0,3,7.7,No,Sales,0
218,54,59515.0,0,3,5.6,Yes,Sales,0
219,29,50050.0,8,4,9.8,No,R&D,1
220,51,45622.0,6,3,34.5,Yes,R&D,0
221,54,66603.0,16,1,3.4,No,R&D,0
222,36,51845.0,0,4,1.9,No,HR,0
223,43,39615.0,17,1,1.3,No,R&D,0
224,55,52399.0,1,4,4.0,No,Sales,0
225,33,54058.0,7,1,19.7,No,R&D,0
226,25,48552.0,4,2,1.8,Yes,R&D,0
227,41,30077.0,5,3,3.5,No,R&D,0
228,39,56215.0,15,1,16.2,Yes,R&D,0
229,42,42559.0,5,4,16.6,Yes,Sales,0
230,43,51233.0,17,4,7.6,Yes,Sales,0
231,39,38547.0,1,2,11.3,No,HR,0
232,26,79331.0,5,1,16.2,No,R&D,0
233,26,54856.0,0,2,0.7,No,R&D,0
234,26,36262.0,7,3,4.2,No,R&D,0
235,27,44941.0,16,2,19.3,Yes,Sales,1
236,52,40888.0,16,2,5.6,No,Sales,0
237,50,59534.0,12,2,1.8,No,R&D,0
238,37,48930.0,3,2,5.1,No,R&D,0
239,25,38246.0,4,1,12.8,Yes,Sales,0
240,59,50405.0,6,3,25.8,No,Sales,0
241,34,70534.0,5,1,14.4,Yes,Sales,0
242,23,68649.0,14,1,6.1,No,HR,1
243,33,61566.0,6,4,9.1,No,R&D,0
244,45,60291.0,7,4,1.1,No,R&D,0
245,48,48500.0,6,2,26.7,No,R&D,0
246,37,27086.0,15,3,8.1,No,HR,0
247,26,53747.0,5,4,0.1,No,Sales,1
248,50,87889.875,1,4,16.0,Yes,Sales,0
249,30,60864.0,14,4,1.1,Yes,R&D,0
250,35,65933.0,11,2,5.4,No,R&D,0
251,27,52611.0,16,4,2.2,No,R&D,0
252,23,72014.0,15,4,3.1,No,HR,1
253,58,34042.0,13,4,8.9,No,HR,0
254,43,56302.0,11,4,0.1,No,HR,0
255,30,71909.0,15,3,5.9,No,R&D,0
256,56,41299.0,15,2,1.9,No,Sales,0
257,36,75959.0,1,1,16.6,No,R&D,1
258,41,50379.0,7,3,3.1,Yes,Sales,0
259,53,53085.0,1,4,3.4,Yes,R&D,0
260,56,31959.0,15,3,4.2,No,Sales,0
261,42,73749.0,14,4,12.4,No,Sales,0
262,27,55855.0,14,3,5.7,No,R&D,0
263,41,21649.0,3,4,10.2,No,R&D,0
264,21,56533.0,16,1,11.2,No,R&D,0
265,41,69667.0,8,1,3.3,Yes,R&D,0
266,54,43803.0,12,4,1.9,No,R&D,1
267,42,53747.0,16,1,5.3,Yes,Sales,1
268,23,87889.875,7,1,6.9,No,R&D,0
269,32,76050.0,16,4,0.2,No,R&D,0
270,32,58400.0,5,3,0.6,Yes,Sales,1
271,57,68357.0,7,3,9.0,No,R&D,0
272,29,79821.0,16,1,28.1,Yes,Sales,0
273,28,57059.0,16,2,22.5,No,R&D,1
274,28,62057.0,13,4,2.4,Yes,Sales,0
275,42,58082.0,11,3,15.2,Yes,Sales,0
276,40,47222.0,18,2,7.7,No,R&D,0
277,43,53747.0,9,4,8.8,Yes,HR,0
278,56,47190.0,12,3,14.7,No,R&D,1
279,38,41482.0,9,4,3.9,No,R&D,1
280,54,61926.0,2,3,14.8,Yes,R&D,0
281,29,75320.0,1,2,13.6,No,R&D,1
282,36,53747.0,4,1,1.1,No,HR,0
283,31,63926.0,2,4,6.9,No,Sales,0
284,39,60560.0,5,1,4.6,Yes,HR,1
285,48,38853.0,2,2,15.6,No,Sales,0
286,38,51078.0,17,2,2.5,No,Sales,0
287,47,44972.0,8,2,1.4,No,R&D,0
288,21,33212.0,2,2,3.1,No,R&D,1
289,29,56633.0,17,4,27.3,No,R&D,0
290,34,51512.0,14,3,1.2,No,HR,0
291,45,43136.0,6,4,12.4,No,R&D,0
292,33,53747.0,10,4,1.7,No,R&D,1
293,55,61228.0,7,3,1.9,No,HR,0
294,24,72025.0,19,2,16.0,No,R&D,0
295,53,49561.0,2,2,7.3,No,Sales,0
296,47,29921.0,9,1,1.7,Yes,R&D,1
297,38,55320.0,5,3,2.0,No,R&D,1
298,32,57387.0,11,2,6.5,No,R&D,0
299,22,62539.0,15,3,2.6,No,Sales,0
300,58,53747.0,8,3,4.7,Yes,Sales,0
